id,id_recipe,id_ingredient,quantity,measurement
1,2177,356,3.71,tbsp
2,3217,2379,4.99,piece
3,2277,937,3.98,ml
4,2256,2419,2.7,tsp
5,1730,2281,4.4,piece
6,1641,1357,4.8,g
7,2476,506,2.09,ml
8,1068,1298,0.29,tbsp
9,2016,2646,2.4,g
10,3,736,3.42,piece
11,2349,1782,2.34,g
12,2840,2248,3.89,tbsp
13,2720,324,3.16,piece
14,3898,623,4.16,ml
15,2405,100,1.54,cup
16,1411,2866,4.53,g
17,3399,1455,4.37,tbsp
18,3129,2971,4.69,tsp
19,2070,41,4.68,g
20,184,2919,3.78,tbsp
21,3614,1827,0.44,piece
22,112,413,3.01,cup
23,173,875,1.11,g
24,3353,1816,4.53,cup
25,2826,445,2.42,tsp
26,1278,1229,1.98,ml
27,824,2286,3.37,piece
28,3842,2601,1.78,g
29,1645,2136,2.46,ml
30,771,1048,0.57,ml
31,2124,1821,2.53,tsp
32,936,2750,0.71,piece
33,3723,1109,0.57,tsp
34,408,1011,0.81,cup
35,3978,2873,0.88,cup
36,2088,770,3.79,ml
37,3716,2698,1.15,cup
38,1782,2779,0.67,tsp
39,1172,213,2.79,cup
40,1408,790,3.98,tsp
41,3169,2217,1.08,ml
42,1552,308,4.5,g
43,3350,1673,0.63,piece
44,240,30,4.32,piece
45,934,338,4.62,tsp
46,269,2884,3.84,cup
47,2213,694,1.33,g
48,1587,1763,0.74,tbsp
49,2483,2735,4.78,cup
50,2028,541,1.49,g
51,1279,2952,2.46,g
52,1260,2645,0.64,ml
53,1886,61,2.95,g
54,2070,690,0.62,tbsp
55,1740,2086,1.31,cup
56,3464,2432,1.0,cup
57,1358,898,3.27,tsp
58,2744,2441,2.42,cup
59,1687,2656,1.5,cup
60,1347,1362,0.69,cup
61,2722,1031,3.39,cup
62,1999,553,1.82,ml
63,1905,1402,1.19,piece
64,3091,1461,0.37,tbsp
65,278,2742,2.01,piece
66,2094,2187,3.09,tsp
67,1409,78,1.02,cup
68,2977,773,3.22,g
69,3364,887,0.15,ml
70,347,162,1.59,cup
71,651,699,4.71,piece
72,3104,905,2.41,tsp
73,2430,2397,2.01,g
74,3287,220,4.72,cup
75,1705,1624,0.16,piece
76,2430,2244,4.15,g
77,2486,488,3.08,tbsp
78,2561,2451,0.3,ml
79,3364,1597,3.54,tbsp
80,1721,304,1.69,ml
81,2758,1345,1.46,g
82,1285,2360,0.53,tsp
83,1651,2878,0.66,cup
84,2777,2987,4.37,ml
85,1238,1757,3.24,tbsp
86,3359,1724,2.29,ml
87,779,1956,0.3,cup
88,2419,2304,3.9,piece
89,46,1529,0.83,tsp
90,3379,2934,1.49,ml
91,2405,2774,3.91,cup
92,3440,1042,3.9,tsp
93,2217,1355,2.93,cup
94,2897,900,1.81,ml
95,428,193,4.75,cup
96,485,437,1.14,tbsp
97,1730,812,0.27,cup
98,2601,2790,4.27,cup
99,1756,121,0.94,tsp
100,155,1949,4.83,cup
101,599,558,3.85,g
102,3576,552,3.85,piece
103,1312,2612,0.53,piece
104,2389,564,2.36,ml
105,2828,1142,3.7,tsp
106,3453,2819,0.36,piece
107,292,2024,1.37,tbsp
108,899,1509,0.31,cup
109,3249,52,0.21,tsp
110,1487,150,3.15,ml
111,3938,2797,4.23,ml
112,3514,1524,1.18,g
113,1474,2159,1.98,cup
114,1561,1424,3.89,g
115,654,762,2.34,tsp
116,2156,1089,1.65,tbsp
117,618,1365,3.99,ml
118,2484,1151,4.4,g
119,1055,320,0.45,tbsp
120,1679,4,4.31,piece
121,571,856,1.79,ml
122,2615,2413,4.26,g
123,1444,2757,3.49,tsp
124,1741,239,0.65,tsp
125,568,2397,3.85,tsp
126,2509,2434,2.11,g
127,3531,2079,3.94,piece
128,1733,386,4.64,tsp
129,1458,2959,3.87,cup
130,2039,2465,0.11,tsp
131,3630,1021,2.2,tsp
132,3487,2944,4.84,cup
133,1773,157,0.47,cup
134,1735,2595,3.58,tsp
135,1686,2246,3.59,tbsp
136,3159,2550,0.13,cup
137,2847,1297,0.92,tsp
138,3365,1555,3.32,cup
139,785,957,2.74,tbsp
140,343,1975,0.63,piece
141,1426,1294,0.17,tsp
142,365,2859,1.88,ml
143,3268,334,3.02,tsp
144,2151,686,0.29,tsp
145,1143,1783,3.44,tbsp
146,3736,2641,0.57,g
147,941,1921,0.47,tsp
148,2806,750,4.01,g
149,3849,1026,1.02,cup
150,2098,993,1.06,cup
151,662,406,0.29,cup
152,3348,2732,3.27,ml
153,3834,2997,3.21,piece
154,2641,2591,4.28,tbsp
155,853,1684,1.74,piece
156,300,54,1.66,tbsp
157,3658,2828,0.82,tbsp
158,367,744,4.06,g
159,730,345,4.58,cup
160,3612,1184,2.44,ml
161,2790,1026,1.01,piece
162,769,1746,1.08,g
163,3566,1555,2.53,g
164,537,2560,2.26,cup
165,2084,862,3.41,ml
166,3868,2497,2.01,g
167,2085,586,1.86,piece
168,3745,1820,0.94,tsp
169,87,2693,0.33,cup
170,2895,599,2.2,cup
171,224,1563,2.87,ml
172,2928,723,1.76,piece
173,669,1477,4.92,ml
174,1034,1990,2.85,ml
175,3616,849,2.09,tsp
176,472,478,3.83,g
177,1078,282,2.63,tbsp
178,952,1580,0.7,cup
179,540,1286,2.04,tsp
180,3296,2230,2.71,tbsp
181,3415,2735,4.67,piece
182,3083,937,4.58,g
183,3405,955,1.37,g
184,62,1795,2.92,ml
185,3263,2800,2.83,g
186,3752,985,3.61,ml
187,2200,2402,0.4,cup
188,2137,1116,2.96,ml
189,725,696,0.89,cup
190,3915,2960,2.3,piece
191,807,2359,1.21,ml
192,3761,1310,0.92,g
193,1229,183,0.72,ml
194,448,1387,1.03,cup
195,2831,2015,3.97,tbsp
196,952,619,4.18,cup
197,2653,1837,3.47,piece
198,3393,1958,0.55,tbsp
199,2554,1038,0.78,ml
200,1592,1744,4.6,g
201,2034,20,4.21,ml
202,3801,100,2.45,g
203,3964,1049,3.52,piece
204,19,499,0.64,tbsp
205,297,1110,1.9,cup
206,2447,1637,1.84,ml
207,1561,449,0.84,tsp
208,648,2864,3.25,cup
209,2036,587,4.14,piece
210,3723,272,1.22,tbsp
211,2463,355,4.51,piece
212,1766,774,0.8,ml
213,3253,1762,1.8,g
214,37,1550,0.26,tsp
215,65,33,4.79,piece
216,1120,365,4.45,g
217,3383,1630,2.92,ml
218,3769,2285,4.7,cup
219,548,2138,1.88,g
220,1687,360,4.67,cup
221,1005,373,0.18,tbsp
222,3385,2641,4.97,tsp
223,539,470,4.52,tbsp
224,1634,225,1.75,piece
225,2827,2789,1.86,ml
226,2990,2731,4.63,tsp
227,3180,1511,4.23,cup
228,3695,2610,4.81,tbsp
229,3891,2334,4.79,ml
230,1269,1695,4.8,tbsp
231,907,2166,1.83,cup
232,3661,1045,0.14,ml
233,1940,1474,1.84,ml
234,3927,2572,0.68,tbsp
235,2919,538,4.16,g
236,3639,961,0.11,tbsp
237,841,1413,2.46,tbsp
238,2927,914,3.83,tsp
239,1517,166,1.71,piece
240,1726,744,2.94,ml
241,1253,2436,1.04,ml
242,2713,1323,4.7,tsp
243,2152,1906,2.24,cup
244,1811,2979,1.77,ml
245,1384,2869,1.51,g
246,794,2004,1.67,cup
247,2390,582,1.3,ml
248,3315,2638,4.37,ml
249,106,2466,2.81,piece
250,1821,2724,4.99,cup
251,2284,1116,3.5,tsp
252,3847,1267,3.5,tbsp
253,3052,2274,3.85,ml
